Date,AA,ACH,ALI=F,BHP,CENX,CSTM,FCX,KALU,NEM,NHYDY,PICK,RIO,XLB,XME
2018-01-02,52.6971435546875,18.21862030029297,2244.5,25.13382339477539,21.3799991607666,11.449999809265137,17.88808822631836,83.28575134277344,30.27047348022461,5.222043514251709,25.003864288330078,28.407072067260742,26.11128044128418,33.95244216918945
2018-01-03,52.05717086791992,18.01169204711914,2244.5,25.23431396484375,20.479999542236328,11.649999618530273,17.616641998291016,83.23248291015625,30.01662826538086,5.1138153076171875,25.312206268310547,28.51083755493164,26.294179916381836,33.727298736572266
2018-01-04,52.24821472167969,18.077533721923828,2244.5,25.28191375732422,20.540000915527344,11.949999809265137,17.86094093322754,84.41226959228516,30.34980583190918,5.120579242706299,25.2351131439209,28.38112449645996,26.52385902404785,33.95244216918945
2018-01-05,51.6655387878418,18.68889617919922,2244.5,25.461746215820312,19.940000534057617,11.800000190734863,18.005714416503906,83.98603057861328,30.46084976196289,5.100286960601807,25.18606185913086,28.29810333251953,26.73652458190918,33.880401611328125
2018-01-08,52.534759521484375,18.64186668395996,2244.5,25.65215301513672,19.709999084472656,11.850000381469727,17.924278259277344,84.63301849365234,30.429126739501953,5.032643795013428,25.641578674316406,28.8740291595459,26.77480125427246,34.15958786010742
2018-01-09,51.770626068115234,18.75473403930664,2244.5,25.83197784423828,19.579999923706055,11.75,17.118993759155273,83.64350891113281,30.230806350708008,5.140872001647949,25.690624237060547,28.920730590820312,26.73226547241211,33.61022186279297
2018-01-10,53.65231704711914,19.07452392578125,2244.5,25.847850799560547,20.610000610351562,11.75,17.652835845947266,83.81856536865234,30.41325569152832,5.208515167236328,25.774723052978516,29.097137451171875,26.570648193359375,34.32168197631836
2018-01-11,54.35914611816406,19.57301902770996,2244.5,26.270978927612305,21.010000228881836,12.399999618530273,17.987613677978516,86.20861053466797,30.809892654418945,5.255866050720215,26.188180923461914,29.699003219604492,26.919416427612305,35.276336669921875
2018-01-12,54.215877532958984,19.431936264038086,2244.5,26.81046485900879,21.739999771118164,12.350000381469727,17.869991302490234,85.56163024902344,31.56346893310547,5.249101161956787,26.5035343170166,29.922115325927734,26.961957931518555,35.105201721191406
2018-01-16,53.71918487548828,20.37249183654785,2244.5,26.027679443359375,21.149999618530273,12.149999618530273,17.480926513671875,83.89471435546875,31.73005485534668,5.140872001647949,25.774723052978516,28.94148063659668,26.647207260131836,34.447784423828125
2018-01-17,54.435569763183594,20.45714569091797,2244.5,26.14932632446289,21.809999465942383,12.449999809265137,17.88808822631836,86.26950073242188,31.293766021728516,5.296451091766357,26.293296813964844,29.195716857910156,26.770551681518555,35.078189849853516
2018-01-18,50.624412536621094,19.930429458618164,2244.5,26.091142654418945,21.420000076293945,13.25,17.553300857543945,86.60441589355469,31.127180099487305,5.147636890411377,26.019990921020508,29.180158615112305,26.7535400390625,34.53783416748047
2018-01-19,50.71992492675781,20.18438148498535,2244.5,26.260398864746094,22.139999389648438,13.050000190734863,18.060001373291016,87.06111907958984,31.309627532958984,5.2693939208984375,26.132112503051758,29.081567764282227,26.915163040161133,34.781002044677734
2018-01-22,50.56709289550781,21.275434494018555,2244.5,26.14932632446289,23.040000915527344,13.0,18.08714485168457,88.37028503417969,31.460355758666992,5.242337226867676,26.146133422851562,29.289112091064453,26.851369857788086,35.024147033691406
2018-01-23,50.13727569580078,20.297250747680664,2244.5,25.78438377380371,22.770000457763672,13.050000190734863,17.68903160095215,87.45690155029297,31.983890533447266,5.059700965881348,25.802753448486328,28.87921905517578,26.84711265563965,34.97911834716797
2018-01-24,50.91096115112305,20.447738647460938,2244.5,26.26568603515625,23.190000534057617,13.350000381469727,17.734270095825195,87.53301239013672,32.97544860839844,5.066464424133301,26.139127731323242,29.133459091186523,26.961957931518555,35.186275482177734
2018-01-25,50.72947692871094,20.466548919677734,2244.5,25.869007110595703,23.799999237060547,13.149999618530273,17.93332862854004,86.88292694091797,32.34086608886719,4.998822212219238,26.118104934692383,28.931106567382812,27.140592575073242,34.781002044677734
2018-01-26,51.57958221435547,20.692285537719727,2244.5,26.445518493652344,24.34000015258789,13.050000190734863,17.679975509643555,86.7682113647461,32.562965393066406,5.059700965881348,26.30731201171875,29.21647071838379,27.259689331054688,35.078189849853516
2018-01-29,52.04762268066406,21.331865310668945,2244.5,26.170482635498047,23.6299991607666,12.899999618530273,17.761411666870117,86.16400909423828,31.793527603149414,5.066464424133301,26.30030632019043,29.392887115478516,26.94919204711914,34.591861724853516
2018-01-30,50.165924072265625,20.993263244628906,2250.0,25.869007110595703,22.610000610351562,12.75,17.309009552001953,84.46611022949219,31.80938720703125,4.870299816131592,25.8868408203125,29.143835067749023,26.7535400390625,33.5651969909668
2018-01-31,49.688331604003906,19.808156967163086,2250.0,25.927181243896484,22.25,12.850000381469727,17.643783569335938,84.31314086914062,32.134605407714844,4.910885810852051,25.753690719604492,29.112699508666992,26.77480125427246,33.23198318481445
2018-02-01,50.07040023803711,16.723129272460938,2250.0,26.080564498901367,22.829999923706055,13.949999809265137,17.59854507446289,84.12960815429688,32.015628814697266,5.046172142028809,25.928890228271484,29.325435638427734,26.409021377563477,33.36705780029297
2018-02-02,46.8896598815918,16.629070281982422,2250.0,25.29777717590332,21.020000457763672,13.100000381469727,16.25942611694336,81.54451751708984,30.913007736206055,4.8229498863220215,24.53433609008789,28.18915367126465,25.715721130371094,31.845060348510742
2018-02-05,46.287899017333984,15.359319686889648,2250.0,24.578462600708008,20.90999984741211,12.699999809265137,15.969889640808105,79.73190307617188,29.984895706176758,4.850008010864258,24.14189910888672,27.649547576904297,24.733203887939453,31.349729537963867
2018-02-06,47.21442413330078,15.425156593322754,2250.0,25.244892120361328,21.979999542236328,12.949999809265137,16.956132888793945,80.9403076171875,29.850051879882812,4.917649745941162,24.968822479248047,28.635364532470703,25.541337966918945,32.04319381713867
2018-02-07,45.56196975708008,15.396943092346191,2250.0,24.54143524169922,21.139999389648438,12.949999809265137,16.159894943237305,80.33612823486328,29.374101638793945,4.741778373718262,24.359142303466797,27.966047286987305,25.31165313720703,31.53885269165039
2018-02-08,43.919063568115234,14.954877853393555,2250.0,23.67402458190918,20.829999923706055,12.25,15.526535034179688,78.21759033203125,29.040931701660156,4.613256454467773,23.427104949951172,27.12032127380371,24.422704696655273,30.692296981811523
2018-02-09,43.86174392700195,14.644492149353027,2250.0,24.202938079833984,21.190000534057617,12.0,15.897505760192871,80.36671447753906,29.159914016723633,4.640313625335693,24.1348876953125,27.872648239135742,24.848039627075195,30.92644691467285
2018-02-12,44.55902862548828,14.766765594482422,2250.0,24.753007888793945,21.639999389648438,12.350000381469727,15.897505760192871,80.45084381103516,29.278913497924805,4.789128303527832,24.394182205200195,28.635364532470703,25.34994125366211,31.890079498291016
2018-02-13,45.179901123046875,14.05194091796875,2250.0,25.250181198120117,21.760000228881836,12.149999618530273,16.105606079101562,81.63628387451172,29.366165161132812,4.7823638916015625,24.59040069580078,28.905162811279297,25.2861328125,32.34037780761719
2018-02-14,46.36431121826172,14.4187593460083,2250.0,26.064699172973633,22.75,12.649999618530273,17.299962997436523,82.72997283935547,30.936811447143555,4.937943458557129,25.368267059326172,30.11408805847168,25.626401901245117,33.60120391845703
2018-02-15,45.43778991699219,14.672710418701172,2250.0,26.39791488647461,22.270000457763672,12.699999809265137,17.299962997436523,82.94412231445312,31.262035369873047,4.97176456451416,25.78873634338379,30.560298919677734,25.817800521850586,33.574195861816406
2018-02-16,45.23720169067383,15.124177932739258,2250.0,25.752641677856445,24.1200008392334,12.800000190734863,16.947080612182617,83.173583984375,31.024059295654297,5.134108066558838,25.704641342163086,29.999940872192383,25.724227905273438,34.411739349365234
2018-02-20,45.91537857055664,14.484597206115723,2250.0,24.62077522277832,23.3799991607666,12.649999618530273,16.675643920898438,80.87149047851562,30.452924728393555,4.883828639984131,25.158031463623047,29.195716857910156,25.609392166137695,33.718284606933594
2018-02-21,45.4186897277832,14.954877853393555,2250.0,24.578462600708008,22.719999313354492,12.199999809265137,16.947080612182617,82.74526977539062,30.27047348022461,4.809421539306641,25.1299991607666,29.040067672729492,25.520069122314453,33.50215148925781
2018-02-22,45.85805892944336,14.889039039611816,2250.0,25.17613410949707,21.75,12.899999618530273,17.336151123046875,79.22713470458984,29.850051879882812,4.870299816131592,25.2841739654541,29.372133255004883,25.690204620361328,33.457115173339844
