Date,bh_returns
2023-03-30,0.0014819522136360064
2023-03-31,0.008531306681338613
2023-04-03,-0.0020997383042695716
2023-04-04,-0.012904769735734511
2023-04-05,-0.014044722953818756
2023-04-06,0.004094392100649991
2023-04-10,-0.00010753266315077781
2023-04-11,-0.012770736334496213
2023-04-12,0.00899978966907522
2023-04-13,0.021253536695457598
2023-04-14,0.0055851349146154305
2023-04-17,-0.0005255689404624064
2023-04-18,0.021222059329154774
2023-04-19,0.005645383225287404
2023-04-20,-0.00832524465182427
2023-04-21,-0.014764252386970433
2023-04-24,-0.0048299127912834194
2023-04-25,-0.019556367756324633
2023-04-26,-0.004625902499019396
2023-04-27,-0.003023760403235265
2023-04-28,0.020659016776773953
2023-05-01,0.013051443024598264
2023-05-02,-0.0033518414119173556
2023-05-03,-0.022065178640931826
2023-05-04,-0.013063613581279832
2023-05-05,0.012527161661328279
2023-05-08,-0.006567991309530896
2023-05-09,0.00839075490861152
2023-05-10,-0.02121980670362067
2023-05-11,-0.030327233967203604
2023-05-12,0.009764935329157787
2023-05-15,0.0053470106229287495
2023-05-16,0.004323492129136852
2023-05-17,0.015694774227299924
2023-05-18,-0.003927991957157317
2023-05-19,0.005777527380767644
2023-05-22,-0.00413898859044437
2023-05-23,-0.015620161390017984
2023-05-24,-0.011148387482614375
2023-05-25,0.001456338127783674
2023-05-26,0.005247597594406628
2023-05-29,0.0
2023-05-30,-0.0077134136835264044
2023-05-31,0.012379570355621539
2023-06-01,0.019211304934357187
2023-06-02,-0.013023439886286958
2023-06-05,-0.012860487670322662
2023-06-06,-0.01608493145790746
2023-06-07,0.0011332730134014923
2023-06-08,0.01506323445577884
2023-06-09,0.0060066921425452335
2023-06-12,-0.019259356906021097
2023-06-13,0.004287010175815453
2023-06-14,0.010303596586778596
2023-06-15,-0.007156465743760165
2023-06-16,0.011048602989664147
2023-06-19,0.0
2023-06-20,-0.015660275298758464
2023-06-21,0.002477199780462236
2023-06-22,-0.009037567161853666
2023-06-23,-0.015899677237777965
2023-06-26,-0.008685133628228314
2023-06-27,0.009491910598169007
2023-06-28,-0.010073610341173378
2023-06-29,-0.010411277291439092
2023-06-30,-0.0053056777177689085
2023-07-03,-0.0009461857595329803
2023-07-04,0.0
2023-07-05,0.003071836063922362
2023-07-06,-0.007697355785813542
2023-07-07,0.003915292419309324
2023-07-10,0.0020110020381123306
2023-07-11,0.005656390287407831
