Date,spread
2018-01-02,0.5410911469071742
2018-01-03,0.5288727178076762
2018-01-04,0.532535877060873
2018-01-05,0.5213214679901803
2018-01-08,0.5380052507484585
2018-01-09,0.5233531011750223
2018-01-10,0.55905479758054
2018-01-11,0.5721429490361523
2018-01-12,0.5695038478951489
2018-01-15,0.5695038478951489
2018-01-16,0.5603002439077258
2018-01-17,0.5735478468958775
2018-01-18,0.500963926920825
2018-01-19,0.5028489819843536
2018-01-22,0.4998311405366742
2018-01-23,0.491294701372869
2018-01-24,0.5066083150863214
2018-01-25,0.5030373750511856
2018-01-26,0.5196560864894657
2018-01-29,0.5286892768714146
2018-01-30,0.4851452995978889
2018-01-31,0.47557930534637194
2018-02-01,0.4832391021578957
2018-02-02,0.41760638853975607
2018-02-05,0.40468969895445994
2018-02-06,0.4245086672623799
2018-02-07,0.3888824905198298
2018-02-08,0.3521575744613301
2018-02-09,0.350851813882354
2018-02-12,0.3666241798240826
2018-02-13,0.38046137571246774
2018-02-14,0.4063392853566583
2018-02-15,0.38615348735541843
2018-02-16,0.3817290642188702
2018-02-19,0.3817290642188702
2018-02-20,0.39660934837995043
2018-02-21,0.3857330242097916
2018-02-22,0.39536031216114154
2018-02-23,0.36769539719108835
2018-02-26,0.36726701365721937
2018-02-27,0.3512679768600684
2018-02-28,0.3238512193146903
2018-03-01,0.3260724137084594
2018-03-02,0.3364466557279755
2018-03-05,0.33885899935992825
2018-03-06,0.36779025705231305
2018-03-07,0.3865532974598125
2018-03-08,0.377953408117353
2018-03-09,0.3861353899718978
2018-03-12,0.39652855653903174
2018-03-13,0.40127324043030654
2018-03-14,0.3588118760980912
2018-03-15,0.3665126656397568
2018-03-16,0.37288487077991306
2018-03-19,0.35429249002672236
2018-03-20,0.3566624739961277
2018-03-21,0.3880143078671203
2018-03-22,0.32273868018208063
2018-03-23,0.318052631308376
2018-03-26,0.34148432086669445
2018-03-27,0.3222932286370792
2018-03-28,0.30546297300647396
2018-03-29,0.31754656611456866
2018-04-02,0.2554822291742518
2018-04-03,0.2780051585173453
2018-04-04,0.3120388463010286
2018-04-05,0.3266377828743323
2018-04-06,0.335837075517162
2018-04-09,0.3879418158193708
2018-04-10,0.4540595005617156
2018-04-11,0.4520232062057552
2018-04-12,0.461245012284504
2018-04-13,0.4702006807794419
2018-04-16,0.4714734566941843
2018-04-17,0.5080487943607039
2018-04-18,0.5478893389294868
2018-04-19,0.5617655952322096
2018-04-20,0.5581062845926468
2018-04-23,0.4129139778623845
2018-04-24,0.3918849653850991
2018-04-25,0.41387673320566165
2018-04-26,0.4327541525625911
2018-04-27,0.40711658144964247
2018-04-30,0.3993344288944414
2018-05-01,0.41464614756199225
2018-05-02,0.43520675251800967
2018-05-03,0.4391560741789924
2018-05-04,0.45977536444620526
2018-05-07,0.46271265009070817
2018-05-08,0.4481246228276099
2018-05-09,0.4430898600341706
2018-05-10,0.44868276032178045
2018-05-11,0.45183803776717824
2018-05-14,0.42116474715324514
2018-05-15,0.38636014461834733
2018-05-16,0.37941073681761495
2018-05-17,0.38971806283196386
2018-05-18,0.3920818097447736
2018-05-21,0.38299067453746005
2018-05-22,0.36939858315481544
2018-05-23,0.3466011609736732
2018-05-24,0.35847194278044725
2018-05-25,0.33333681654101
2018-05-28,0.33333681654101
2018-05-29,0.32010527493651253
2018-05-30,0.3400198987640515
2018-05-31,0.3302899617873436
2018-06-01,0.3213044570684893
2018-06-04,0.3383703123618531
2018-06-05,0.3585938362624823
2018-06-06,0.3722514443573566
2018-06-07,0.35332188579046786
2018-06-08,0.33960783964509034
2018-06-11,0.3680533591334374
2018-06-12,0.3553528807610462
2018-06-13,0.33609784424307776
2018-06-14,0.32549374471464176
2018-06-15,0.2718214158866381
2018-06-18,0.2814789764827701
2018-06-19,0.2524467232953249
2018-06-20,0.2702764140319225
2018-06-21,0.2600630874766985
2018-06-22,0.27666194250068443
2018-06-25,0.24771305312342662
2018-06-26,0.28191586728270224
2018-06-27,0.2806051465820154
2018-06-28,0.29138011252915064
2018-06-29,0.3001642541789771
2018-07-02,0.2786025443046931
2018-07-03,0.27685723609976165
2018-07-04,0.27685723609976165
2018-07-05,0.3001642541789771
2018-07-06,0.30569509069779954
2018-07-09,0.3297974145646343
2018-07-10,0.3214799495573395
2018-07-11,0.32502334944529565
2018-07-12,0.3111954208524885
2018-07-13,0.3082372821591157
2018-07-16,0.31140629763106986
2018-07-17,0.3241906587622374
2018-07-18,0.3229404046246067
2018-07-19,0.1797111108881566
2018-07-20,0.14942075739179117
2018-07-23,0.1741620046742618
2018-07-24,0.2018418231937602
2018-07-25,0.21632801406181557
2018-07-26,0.2095784523324582
2018-07-27,0.2188765329592819
2018-07-30,0.1989083408724568
2018-07-31,0.21498319997156656
2018-08-01,0.18614548369071926
2018-08-02,0.19655700765210682
