Strategy,Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Total Return (%),# Trades
Pairs Trading,24.25,12.43,1.951,-3.75,6.468,52.63,61
Buy-and-Hold ALI=F,4.19,20.61,0.204,-21.66,0.194,3.82,N/A
