Date,strategy_returns
2023-03-31,-0.004464766800684153
2023-04-03,-0.012967221067774778
2023-04-04,0.0006227216490566068
2023-04-05,0.01577309625555945
2023-04-06,-0.018120913695189693
2023-04-10,0.01600370837302595
2023-04-11,-0.002
2023-04-12,0.0
2023-04-13,-0.002
2023-04-14,-0.004
2023-04-17,0.011296366508921612
2023-04-18,-0.004
2023-04-19,-0.004
2023-04-20,-0.004
2023-04-21,-0.004
2023-04-24,0.01012105076613433
2023-04-25,-0.00835425334479619
2023-04-26,0.0042832985315397025
2023-04-27,0.031175754943533945
2023-04-28,-0.03305956914931298
2023-05-01,-0.004
2023-05-02,-0.004
2023-05-03,0.041955961642314715
2023-05-04,0.017449419800833234
2023-05-05,0.015782159972045018
2023-05-08,0.036410645255177565
2023-05-09,-0.002
2023-05-10,-0.002
2023-05-11,-0.004
2023-05-12,0.025699005780078908
2023-05-15,-0.004
2023-05-16,0.03623409426809308
2023-05-17,0.025550162447979655
2023-05-18,-0.012695904184561851
2023-05-19,0.03535098527588149
2023-05-22,-0.01964810666671812
2023-05-23,-0.022659871761730864
2023-05-24,0.0070765421935898055
2023-05-25,-0.002
2023-05-26,0.0
2023-05-30,0.0
2023-05-31,-0.002
2023-06-01,-0.004
2023-06-02,0.1020406219243576
2023-06-05,0.0015722916365397827
2023-06-06,0.0667341484674068
2023-06-07,0.01977709880328061
2023-06-08,-0.004
2023-06-09,0.026389897402175254
2023-06-12,-0.004
2023-06-13,-0.004
2023-06-14,0.04396359824613735
2023-06-15,-0.015224986322148169
2023-06-16,0.040135595331989876
2023-06-20,-0.002931625154493661
2023-06-21,-0.013156814426746027
2023-06-22,-0.002
2023-06-23,-0.002
2023-06-26,-0.004
2023-06-27,-0.004
2023-06-28,-0.004
2023-06-29,-0.004
2023-06-30,-0.004
2023-07-03,-0.004
2023-07-05,0.02580652068898989
2023-07-06,0.013284473278030357
2023-07-07,-0.035776200680149986
2023-07-10,0.004059929974762348
2023-07-11,-0.0004401837016676808
2023-07-12,-0.002
2023-07-13,-0.002
2023-07-14,-0.004
2023-07-17,0.06460305450350615
2023-07-18,0.03873215359855843
2023-07-19,0.0287694745737895
2023-07-20,-0.0717055989300697
2023-07-21,-0.002
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,-0.002
2023-07-31,-0.004
2023-08-01,0.011399712140297044
2023-08-02,0.0244753622315528
2023-08-03,-0.005925875804112725
2023-08-04,-0.020818272883867076
2023-08-07,-0.002
2023-08-08,-0.002
2023-08-09,-0.004
2023-08-10,0.063367168003024
2023-08-11,-0.02245627230273902
2023-08-14,-0.03763095821433876
2023-08-15,0.03752404150869396
2023-08-16,-0.004
2023-08-17,-0.004
2023-08-18,0.0076937788507942355
2023-08-21,-0.004
2023-08-22,-0.004
2023-08-23,-0.004
2023-08-24,0.023498890755833595
2023-08-25,-0.014996957241489391
2023-08-28,-0.004
2023-08-29,0.05695075918427494
2023-08-30,-0.05461624870130312
2023-08-31,0.006154998875252851
2023-09-01,-0.004
2023-09-05,0.01892291815731653
