Date,AA,ACH,ALI=F,BHP,CENX,CSTM,FCX,HINDALCO.NS,KALU,NEM,NHYDY,PICK,RIO,S32.AX,XLB,XME
2018-01-02,52.61097717285156,18.218616485595703,2244.5,24.648435592651367,21.3799991607666,11.449999809265137,17.888084411621094,257.94384765625,83.28578186035156,30.20932960510254,5.222043991088867,25.003856658935547,27.634292602539062,2.5540523529052734,25.99567413330078,33.931434631347656
2018-01-03,51.97206115722656,18.01169204711914,2244.5,24.746986389160156,20.479999542236328,11.649999618530273,17.61664390563965,262.30780029296875,83.23249816894531,29.95600128173828,5.1138153076171875,25.312204360961914,27.735240936279297,2.604987382888794,26.17776107788086,33.70640563964844
2018-01-04,52.162784576416016,18.077533721923828,2244.5,24.793670654296875,20.540000915527344,11.949999809265137,17.860950469970703,265.4383544921875,84.41230010986328,30.28849983215332,5.120579719543457,25.235116958618164,27.609052658081055,2.590435028076172,26.406423568725586,33.931434631347656
2018-01-05,51.58107376098633,18.688894271850586,2244.5,24.97002410888672,19.940000534057617,11.800000190734863,18.005712509155273,262.212890625,83.98603057861328,30.39933204650879,5.100286960601807,25.186065673828125,27.52829933166504,2.655923366546631,26.618152618408203,33.85941696166992
2018-01-08,52.44886016845703,18.64186668395996,2244.5,25.156753540039062,19.709999084472656,11.850000381469727,17.924274444580078,261.9757080078125,84.63301849365234,30.367660522460938,5.032643795013428,25.64157485961914,28.088558197021484,2.655923366546631,26.656261444091797,34.138431549072266
2018-01-09,51.68597412109375,18.754735946655273,2244.5,25.33310890197754,19.579999923706055,11.75,17.119001388549805,257.56439208984375,83.64350891113281,30.169755935668945,5.140872478485107,25.690624237060547,28.13397979736328,2.7141356468200684,26.613920211791992,33.58940124511719
2018-01-10,53.564598083496094,19.07452392578125,2244.5,25.348670959472656,20.610000610351562,11.75,17.652835845947266,255.0030059814453,83.818603515625,30.35182762145996,5.208515167236328,25.77471923828125,28.30559539794922,2.6850292682647705,26.453004837036133,34.30043029785156
2018-01-11,54.27027130126953,19.573020935058594,2244.5,25.763628005981445,21.010000228881836,12.399999618530273,17.987613677978516,254.0068817138672,86.2086181640625,30.74765396118164,5.255865573883057,26.188180923461914,28.89107894897461,2.7068583965301514,26.800235748291016,35.25448226928711
2018-01-12,54.12723159790039,19.431936264038086,2244.5,26.292699813842773,21.739999771118164,12.350000381469727,17.869991302490234,255.05038452148438,85.56163024902344,31.49971580505371,5.2491021156311035,26.5035343170166,29.10811996459961,2.8160064220428467,26.84257698059082,35.083473205566406
2018-01-15,54.12723159790039,19.431936264038086,2244.5,26.292699813842773,21.739999771118164,12.350000381469727,17.869991302490234,253.01075744628906,85.56163024902344,31.49971580505371,5.2491021156311035,26.5035343170166,29.10811996459961,2.8887712955474854,26.84257698059082,35.083473205566406
2018-01-16,53.631343841552734,20.37249183654785,2244.5,25.525022506713867,21.149999618530273,12.149999618530273,17.48092269897461,247.17645263671875,83.8946762084961,31.665971755981445,5.140872478485107,25.77471923828125,28.1541690826416,2.896047830581665,26.52922821044922,34.42645263671875
2018-01-17,54.346553802490234,20.457141876220703,2244.5,25.644325256347656,21.809999465942383,12.449999809265137,17.888084411621094,249.26348876953125,86.2695083618164,31.230554580688477,5.296450614929199,26.293302536010742,28.401493072509766,2.852388858795166,26.65202522277832,35.05647277832031
2018-01-18,50.541629791259766,19.930431365966797,2244.5,25.587270736694336,21.420000076293945,13.25,17.553308486938477,240.8677520751953,86.6043930053711,31.064311981201172,5.147637367248535,26.019994735717773,28.3863468170166,2.7796239852905273,26.635089874267578,34.516441345214844
