Date,AA,ACH,ALI=F,BHP,CENX,CSTM,FCX,HINDALCO.NS,KALU,NEM,NHYDY,PICK,RIO,S32.AX,XLB,XME
2018-01-02,3.9629246444544313,2.9024439551175023,7.716238058221987,3.204713433673562,3.0624558663436994,2.4379897133421817,2.8841349224848454,5.552741916490346,4.422277757049121,3.4081509302693416,1.652888803113094,3.2190302318921353,3.3190575560969635,0.9376812557969981,3.2623675678660944,3.5249611227712006
2018-01-03,3.950706215354933,2.891020999302817,7.716238058221987,3.2087037966209366,3.019448777819565,2.4553061472675264,2.8688439150912215,5.569518508147383,4.4216377828901505,3.399729490159455,1.6319456679185878,3.2312865898786867,3.3227039093234874,0.9574279232966784,3.269347546200276,3.518307447869832
2018-01-04,3.95436937460813,2.8946699364738224,7.716238058221987,3.2105880973299024,3.02237424907331,2.4807312624164433,2.8826160443142945,5.58138251228194,4.435712765352265,3.4107679080590523,1.6332676591151145,3.2282365545593,3.3181436447183814,0.9518255500009851,3.2780445246374983,3.5249611227712006
2018-01-05,3.94315496553744,2.9279296623483493,7.716238058221987,3.2176760698053015,2.9927277913169226,2.4680995476355903,2.8906888573069436,5.569156617065899,4.430650482377941,3.414420510530241,1.6292966179475714,3.226290892133186,3.3152144728656263,0.9767922884724667,3.2860305924680473,3.522836611055859
2018-01-08,3.959838748295716,2.925409948232639,7.716238058221987,3.2251263909169565,2.9811260747147372,2.4723278997726776,2.886155908376642,5.568251898425228,4.438324209551719,3.413378620424785,1.6159454513999902,3.2442150521482422,3.3353621760084438,0.9767922884724667,3.2874613359700455,3.53104308051679
2018-01-09,3.945186598722282,2.931446406043679,7.716238058221987,3.2321122677372554,2.97450863320584,2.463853240590168,2.8401888160701323,5.5512697552107335,4.426563735015432,3.40684002672237,1.6372228079583138,3.246126332390098,3.3369782946346245,0.9984734527257452,3.285871494534444,3.514830129311796
2018-01-10,3.980888295127799,2.9483535188451673,7.716238058221987,3.232726526762142,3.025776424516708,2.463853240590168,2.8708962255361032,5.541275333251477,4.428654799797655,3.412856922386396,1.650294818454317,3.249394285053,3.3430593675794165,0.9876918061497174,3.279807011591386,3.535777393198262
2018-01-11,3.9939764465834116,2.974152037660616,7.716238058221987,3.248963656028211,3.0449985257508563,2.517696441847303,2.8896833920255394,5.5373613600132,4.456769797376632,3.4258138834936576,1.6593447051100116,3.2653079806976,3.3635332566896223,0.9957888753120446,3.292848039080249,3.5632119573103367
2018-01-12,3.9913373454424073,2.9669179117458553,7.716238058221987,3.2692913270348862,3.07915387116492,2.5136560939622226,2.8831227357263707,5.541461231652702,4.449237027069993,3.449979008139356,1.6580568546995724,3.2772779506209306,3.371017302890835,1.0353196341826845,3.2944268362375713,3.558349642670779
2018-01-15,3.9913373454424073,2.9669179117458553,7.716238058221987,3.2692913270348862,3.07915387116492,2.5136560939622226,2.8831227357263707,5.533432127991842,4.449237027069993,3.449979008139356,1.6580568546995724,3.2772779506209306,3.371017302890835,1.060831254469367,3.2944268362375713,3.558349642670779
2018-01-16,3.9821337414549833,3.0141855515027625,7.716238058221987,3.2396593952514174,3.051639887455893,2.4973291383898717,2.8611101548167874,5.510102341257657,4.429562248389243,3.455242356976727,1.6372228079583138,3.249394285053,3.33769544602252,1.0633470727974044,3.2826843518798268,3.5394443503696924
