Date,AA,ACH,ALI=F,BHP,CENX,CSTM,FCX,KALU,NEM,NHYDY,PICK,RIO,VALE,XLB,XME
2018-01-02,52.6109733581543,18.218616485595703,2244.5,24.648426055908203,21.3799991607666,11.449999809265137,17.888084411621094,83.28575897216797,30.209339141845703,5.222043991088867,25.003864288330078,27.634288787841797,6.606470584869385,25.99567222595215,33.931427001953125
2018-01-03,51.97205352783203,18.011690139770508,2244.5,24.746986389160156,20.479999542236328,11.649999618530273,17.616641998291016,83.23248291015625,29.956003189086914,5.1138153076171875,25.31220054626465,27.735244750976562,6.647858142852783,26.177764892578125,33.70641326904297
2018-01-04,52.16276931762695,18.07752799987793,2244.5,24.79366683959961,20.540000915527344,11.949999809265137,17.860942840576172,84.41227722167969,30.28849983215332,5.120579719543457,25.2351131439209,27.60905647277832,6.637511253356934,26.40642738342285,33.931427001953125
2018-01-05,51.58107376098633,18.688892364501953,2244.5,24.970022201538086,19.940000534057617,11.800000190734863,18.005708694458008,83.98603820800781,30.399333953857422,5.100286960601807,25.18606185913086,27.528291702270508,6.772021293640137,26.618148803710938,33.859432220458984
2018-01-08,52.44886779785156,18.64186668395996,2244.5,25.156749725341797,19.709999084472656,11.850000381469727,17.92427635192871,84.63302612304688,30.367671966552734,5.032642841339111,25.64157485961914,28.088550567626953,6.8910088539123535,26.65626335144043,34.138427734375
2018-01-09,51.68596649169922,18.754732131958008,2244.5,25.33310890197754,19.579999923706055,11.75,17.11899757385254,83.64351654052734,30.169754028320312,5.140872001647949,25.69062614440918,28.133983612060547,6.849621295928955,26.61391830444336,33.58940887451172
2018-01-10,53.5645866394043,19.074525833129883,2244.5,25.348670959472656,20.610000610351562,11.75,17.652835845947266,83.8185806274414,30.351829528808594,5.208515167236328,25.774721145629883,28.305587768554688,6.803061008453369,26.453006744384766,34.30043029785156
2018-01-11,54.27027130126953,19.57301902770996,2244.5,25.763628005981445,21.010000228881836,12.399999618530273,17.98761558532715,86.2085952758789,30.747655868530273,5.255865097045898,26.188180923461914,28.891084671020508,6.958263874053955,26.80023956298828,35.25447082519531
2018-01-12,54.12722396850586,19.431936264038086,2244.5,26.29269790649414,21.739999771118164,12.350000381469727,17.86998748779297,85.5616226196289,31.499725341796875,5.2491021156311035,26.503536224365234,29.108125686645508,6.999650955200195,26.842580795288086,35.08346939086914
2018-01-16,53.63134765625,20.372493743896484,2244.5,25.525026321411133,21.149999618530273,12.149999618530273,17.480928421020508,83.89469146728516,31.665964126586914,5.140872001647949,25.774721145629883,28.154170989990234,6.813406944274902,26.529220581054688,34.42644500732422
