Strategy,Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Total Return (%)
OTT Market-Neutral,6.96,14.28,0.488,-14.61,0.477,12.45
Buy-and-Hold ALI=F,1.51,20.93,0.072,-21.66,0.07,2.65
